chain,metric,k,test_acc,test_auc
ce,GOF,69,0.8523207329785483,0.8987733546786206
ce,GOF,70,0.8533905744225599,0.8967721008311694
ce,GOF,71,0.8453118999286773,0.8968045259973142
ce,GOF,72,0.8431722170406539,0.8975434120949182
ce,GOF,73,0.8440226038294837,0.8964715150224957
ce,GOF,74,0.8454764909200636,0.8919197599092236
ce,GOF,75,0.8459016843144785,0.892421459370808
ce,GOF,76,0.8433916716958358,0.8884121545579934
ce,GOF,77,0.8436522740988643,0.8872441941322435
ce,GOF,78,0.8433230921160915,0.8865619726884245
ce,GOF,79,0.8592472705327262,0.8957811067620078
ce,GOF,80,0.8595353047676524,0.8937505668058808
ce,GOF,81,0.8626762495199429,0.8939511694229669
ce,GOF,82,0.8628957041751248,0.8953678290178388
ce,GOF,83,0.862155044713886,0.8912152839365118
ce,GOF,84,0.8646924891644264,0.8889699564201397
ce,GOF,85,0.8628134086794316,0.8904946961082788
ce,GOF,86,0.8643084435178581,0.8905741069779858
ce,GOF,87,0.8606325780435617,0.8901607905362267
ce,GOF,88,0.8630328633346135,0.8914884479498291
ce,GOF,89,0.8602073846491469,0.8911452936537044
ce,GOF,90,0.8643633071816536,0.89327537405546
ce,GOF,91,0.8641987161902672,0.8941907587240758
ce,GOF,92,0.8642810116859604,0.8924289917429358
ce,GOF,93,0.8635129203928238,0.8926498696209895
ce,GOF,94,0.8643495912657048,0.8911784802518459
ce,GOF,95,0.8638832501234432,0.8903280460739884
ce,GOF,96,0.8653097053821254,0.8889872053019157
ce,GOF,97,0.8631014429143579,0.8823453682990796
ce,GOF,98,0.8639243978712898,0.8850484325381722
ce,GOF,99,0.8620041696384485,0.8827414688658309
